Player,Season,Age,Tm,MP,G,TRB,AST,STL,BLK,TOV,PTS,FG%,3P%,TS%,PER,USG%,WS,BPM,VORP,Salary2,Adjusted Salary3
Blake Griffin,2013-14,24,LAC,35.8,80,9.5,3.9,1.2,0.6,2.8,24.1,0.528,0.273,0.583,23.9,29,12.2,4.5,4.7,"$16,402,500 ","$19,085,298 "
Jimmy Butler,2017-18,28,MIN,36.7,59,5.3,4.9,2,0.4,1.8,22.2,0.474,0.35,0.59,23.7,24.9,8.9,5.8,4.2,"$18,696,918 ","$20,738,004 "
James Harden,2013-14,24,HOU,38,73,4.7,6.1,1.6,0.4,3.6,25.4,0.456,0.366,0.618,23.5,27.8,12.8,5.6,5.3,"$13,668,750 ","$15,904,415 "
Paul George,2018-19,28,OKC,36.9,77,8.2,4.1,2.2,0.4,2.7,28,0.438,0.386,0.583,23.3,29.5,11.9,7.2,6.6,"$30,560,700 ","$32,950,723 "
John Wall,2016-17,26,WAS,36.4,78,4.2,10.7,2,0.6,4.1,23.1,0.451,0.327,0.541,23.2,30.6,8.8,4.7,4.8,"$15,756,438 ","$17,761,997 "
James Harden,2012-13,23,HOU,38.3,78,4.9,5.8,1.8,0.5,3.8,25.9,0.438,0.368,0.6,23,29,12.8,5.6,5.8,"$5,820,416 ","$6,891,221 "
Kobe Bryant,2012-13,34,LAL,38.6,78,5.6,6,1.4,0.3,3.7,27.3,0.463,0.324,0.57,23,31.9,10.9,4.6,5,"$27,849,000 ","$32,972,493 "
Kyle Lowry,2016-17,30,TOR,37.4,60,4.8,7,1.5,0.3,2.9,22.4,0.464,0.412,0.623,22.9,24.9,10.1,6.1,4.6,"$12,000,000 ","$13,527,421 "
Joel Embiid,2017-18,23,PHI,30.3,63,11,3.2,0.6,1.8,3.7,22.9,0.483,0.308,0.573,22.9,33.4,6.2,3.3,2.6,"$6,100,266 ","$6,766,213 "
LaMarcus Aldridge,2015-16,30,SAS,30.6,74,8.5,1.5,0.5,1.1,1.3,18,0.513,0,0.565,22.4,25.9,10.1,2.3,2.5,"$19,689,000 ","$22,416,474 "
Damian Lillard,2015-16,25,POR,35.7,75,4,6.8,0.9,0.4,3.2,25.1,0.419,0.375,0.56,22.2,31.3,9.2,4.4,4.3,"$4,236,286 ","$4,823,129 "
Kyle Lowry,2015-16,29,TOR,37,77,4.7,6.4,2.1,0.4,2.9,21.2,0.427,0.388,0.578,22.2,26.1,11.6,5.8,5.7,"$12,000,000 ","$13,662,333 "
LaMarcus Aldridge,2013-14,28,POR,36.2,69,11.1,2.6,0.9,1,1.8,23.2,0.458,0.2,0.507,21.8,29.8,7.5,2.3,2.7,"$14,100,000 ","$16,406,201 "
Derrick Favors,2014-15,23,UTA,30.8,74,8.2,1.5,0.8,1.7,1.6,16,0.525,0.167,0.558,21.8,23.8,8.3,2.5,2.6,"$12,950,000 ","$14,762,183 "
Kyrie Irving,2014-15,22,CLE,36.4,75,3.2,5.2,1.5,0.3,2.5,21.7,0.468,0.415,0.583,21.5,26.2,10.4,4.1,4.2,"$7,459,924 ","$8,503,843 "
DeMar DeRozan,2015-16,26,TOR,35.9,78,4.5,4,1,0.3,2.2,23.5,0.446,0.338,0.55,21.5,29.8,9.9,2.5,3.2,"$9,500,000 ","$10,816,014 "
Al Horford,2014-15,28,ATL,30.5,76,7.2,3.2,0.9,1.3,1.3,15.2,0.538,0.306,0.563,21.4,22.2,8.7,4.1,3.6,"$12,000,000 ","$13,679,243 "
Andre Drummond,2014-15,21,DET,30.5,82,13.5,0.7,0.9,1.9,1.5,13.8,0.514,0,0.504,21.4,22,7.7,-0.1,1.2,"$2,568,360 ","$2,927,768 "
Stephen Curry,2012-13,24,GSW,38.2,78,4,6.9,1.6,0.2,3.1,22.9,0.451,0.453,0.589,21.3,26.4,11.2,5.4,5.6,"$3,958,742 ","$4,687,047 "
